timestamp,real_temp,real_hum,predicted_temp,predicted_hum
2025-09-18 05:44:55.166549,23.30,62.90,24.08,67.85
2025-09-18 05:44:57.423612,23.20,62.90,24.08,67.85
2025-09-18 05:44:59.680654,23.20,62.50,24.08,67.85
2025-09-18 05:45:01.937678,23.30,63.10,24.08,67.85
2025-09-18 05:45:04.194744,23.30,62.00,24.08,67.85
2025-09-18 05:45:06.451641,23.30,63.00,24.08,67.85
2025-09-18 05:45:08.708667,23.20,62.90,24.08,67.85
2025-09-18 05:45:10.965780,23.30,63.10,24.08,67.85
2025-09-18 05:45:13.222874,23.20,63.00,24.08,67.85
2025-09-18 05:45:15.479903,23.20,63.20,24.08,67.85
2025-09-18 05:45:19.988284,23.30,63.20,24.08,67.85
2025-09-18 05:45:22.248486,23.30,63.10,24.08,67.85
2025-09-18 05:45:24.508739,23.30,63.10,24.08,67.85
2025-09-18 05:45:26.765563,23.20,62.60,24.08,67.85
2025-09-18 05:45:29.022426,23.20,63.30,24.08,67.85
2025-09-18 05:45:31.279275,23.30,63.30,24.08,67.85
2025-09-18 05:45:33.540921,23.20,62.90,24.08,67.85
2025-09-18 05:45:35.798346,23.30,62.80,24.08,67.85
2025-09-18 05:45:38.055401,23.30,62.70,24.08,67.85
2025-09-18 05:45:40.312584,23.30,63.00,24.08,67.85
2025-09-18 05:45:42.569782,23.30,63.10,24.08,67.85
2025-09-18 05:45:44.831473,23.40,63.00,24.08,67.85
2025-09-18 05:45:47.088416,23.30,62.80,24.08,67.85
2025-09-18 05:45:53.857167,23.30,62.80,24.08,67.85
2025-09-18 05:45:58.372483,23.20,62.60,24.08,67.85
2025-09-18 05:46:00.632356,23.20,62.90,24.08,67.85
2025-09-18 05:46:02.889490,23.30,62.90,24.08,67.85
2025-09-18 05:46:05.146657,23.20,62.90,24.08,67.85
2025-09-18 05:46:07.404193,23.30,63.00,24.08,67.85
2025-09-18 05:46:09.665168,23.30,62.70,24.08,67.85
2025-09-18 05:46:11.922568,23.20,63.10,24.08,67.85
2025-09-18 05:46:14.179601,23.20,63.00,24.08,67.85
2025-09-18 05:46:16.437559,23.30,63.10,24.08,67.85
2025-09-18 05:46:18.695450,23.30,62.70,24.08,67.85
2025-09-18 05:46:23.204471,23.30,62.50,24.08,67.85
2025-09-18 05:46:27.713028,23.30,63.00,24.08,67.85
2025-09-18 05:46:29.970101,23.30,62.90,24.08,67.85
2025-09-18 05:46:32.227182,23.30,62.80,24.08,67.85
2025-09-18 05:46:36.735847,23.30,62.80,24.08,67.85
2025-09-18 05:46:41.247586,23.30,62.90,24.08,67.85
2025-09-18 05:46:43.504862,23.30,62.80,24.08,67.85
2025-09-18 05:46:45.776868,23.30,63.00,24.08,67.85
2025-09-18 05:46:48.034036,23.30,63.10,24.08,67.85
2025-09-18 05:46:50.291252,23.30,62.80,24.08,67.85
2025-09-18 05:46:54.799824,23.30,61.90,24.08,67.85
2025-09-18 05:46:57.056919,23.30,63.10,24.08,67.85
2025-09-18 05:46:59.313979,23.30,63.30,24.08,67.85
2025-09-18 05:47:01.572815,23.40,63.00,24.08,67.85
2025-09-18 05:47:03.830059,23.40,62.90,24.08,67.85
2025-09-18 05:47:06.087192,23.30,62.60,24.08,67.85
2025-09-18 05:47:08.344255,23.40,62.80,24.08,67.85
2025-09-18 05:47:12.856528,23.30,63.20,24.08,67.85
2025-09-18 05:47:15.113433,23.30,63.00,24.08,67.85
2025-09-18 05:47:19.624783,23.30,62.90,24.08,67.85
2025-09-18 05:47:21.882768,23.30,62.80,24.08,67.85
2025-09-18 05:47:24.140450,23.40,62.80,24.08,67.85
2025-09-18 05:47:26.397523,23.30,62.80,24.08,67.85
2025-09-18 05:47:28.660498,23.30,63.00,24.08,67.85
2025-09-18 05:47:30.917393,23.30,63.20,24.08,67.85
2025-09-18 05:47:33.174289,23.30,62.70,24.08,67.85
